value_exc_vat,value_inc_vat,valid_from,valid_to
7.857,8.24985,2024-07-02T20:30:00Z,2024-07-03T01:30:00Z
33.383,35.05215,2024-07-02T01:30:00Z,2024-07-02T20:30:00Z
7.857,8.24985,2024-07-01T20:30:00Z,2024-07-02T01:30:00Z
33.383,35.05215,2024-07-01T01:30:00Z,2024-07-01T20:30:00Z
7.857,8.24985,2024-06-30T20:30:00Z,2024-07-01T01:30:00Z
33.383,35.05215,2024-06-30T01:30:00Z,2024-06-30T20:30:00Z
7.857,8.24985,2024-06-29T20:30:00Z,2024-06-30T01:30:00Z
33.383,35.05215,2024-06-29T01:30:00Z,2024-06-29T20:30:00Z
7.857,8.24985,2024-06-28T20:30:00Z,2024-06-29T01:30:00Z
33.383,35.05215,2024-06-28T01:30:00Z,2024-06-28T20:30:00Z
7.857,8.24985,2024-06-27T20:30:00Z,2024-06-28T01:30:00Z
33.383,35.05215,2024-06-27T01:30:00Z,2024-06-27T20:30:00Z
7.857,8.24985,2024-06-26T20:30:00Z,2024-06-27T01:30:00Z
33.383,35.05215,2024-06-26T01:30:00Z,2024-06-26T20:30:00Z
7.857,8.24985,2024-06-25T20:30:00Z,2024-06-26T01:30:00Z
33.383,35.05215,2024-06-25T01:30:00Z,2024-06-25T20:30:00Z
7.857,8.24985,2024-06-24T20:30:00Z,2024-06-25T01:30:00Z
33.383,35.05215,2024-06-24T01:30:00Z,2024-06-24T20:30:00Z
7.857,8.24985,2024-06-23T20:30:00Z,2024-06-24T01:30:00Z
33.383,35.05215,2024-06-23T01:30:00Z,2024-06-23T20:30:00Z
7.857,8.24985,2024-06-22T20:30:00Z,2024-06-23T01:30:00Z
33.383,35.05215,2024-06-22T01:30:00Z,2024-06-22T20:30:00Z
7.857,8.24985,2024-06-21T20:30:00Z,2024-06-22T01:30:00Z
33.383,35.05215,2024-06-21T01:30:00Z,2024-06-21T20:30:00Z
7.857,8.24985,2024-06-20T20:30:00Z,2024-06-21T01:30:00Z
33.383,35.05215,2024-06-20T01:30:00Z,2024-06-20T20:30:00Z
7.857,8.24985,2024-06-19T20:30:00Z,2024-06-20T01:30:00Z
33.383,35.05215,2024-06-19T01:30:00Z,2024-06-19T20:30:00Z
7.857,8.24985,2024-06-18T20:30:00Z,2024-06-19T01:30:00Z
33.383,35.05215,2024-06-18T01:30:00Z,2024-06-18T20:30:00Z
7.857,8.24985,2024-06-17T20:30:00Z,2024-06-18T01:30:00Z
33.383,35.05215,2024-06-17T01:30:00Z,2024-06-17T20:30:00Z
7.857,8.24985,2024-06-16T20:30:00Z,2024-06-17T01:30:00Z
33.383,35.05215,2024-06-16T01:30:00Z,2024-06-16T20:30:00Z
7.857,8.24985,2024-06-15T20:30:00Z,2024-06-16T01:30:00Z
